start_idx,init,p_ls,p_ref,l2_ls,l1_before,l1_after,l1_final
38,"[33.81273353754873, -0.010889044939809099, 39.96883567198307]","[29.582811234247494, -0.049999999999999996, 55.0136087432125]","[28.105178648328213, 0.02131549197098766, 54.89753860291972]",385843.44618165994,38102.191883073756,37865.10841759749,37865.10841759749
39,"[29.915437679359492, -0.031326581439628666, 60.36536264087728]","[29.582823240870876, -0.049999999999999996, 55.013612155973966]","[28.105676746445525, 0.021318264746381384, 54.898337745101344]",385843.44618165406,38102.19273554138,37865.10787993918,37865.10787993918
40,"[47.090143263496856, -0.0251754285370429, 76.9328691099991]","[29.58282510638043, -0.049999999999999996, 55.01361268629138]","[28.102808438306692, 0.02130232263523302, 54.89796463537192]",385843.44618165796,38102.19286799064,37865.11096780103,37865.11096780103
41,"[33.36187265501862, -0.04041020644058879, 46.51037997006877]","[29.582825472343213, -0.049999999999999996, 55.013612795462905]","[28.104148568103696, 0.021309765787713708, 54.89754668247199]",385843.44618165895,38102.19289386059,37865.10952777664,37865.10952777664
42,"[44.32399596637588, 0.01974534998820221, 39.588371844206726]","[29.58282358110441, -0.049999999999999996, 55.0136122528209]","[28.105564171791915, 0.02131763621565048, 54.898689143696004]",385843.4461816547,38102.192759694815,37865.10800135492,37865.10800135492
43,"[36.696408166503325, -0.02798650444545138, 24.895674172532487]","[29.58281524846644, -0.049999999999999996, 55.01360988393121]","[28.104040072253028, 0.021309162645343455, 54.89855329629685]",385843.446181652,38102.19216808872,37865.109644516844,37865.109644516844
44,"[7.994780053752376, -0.015989981504529474, 47.911589222123055]","[29.582814687439292, -0.049999999999999996, 55.013609720708104]","[28.098952885651276, 0.021280854816741118, 54.89732187144117]",385843.4461816528,38102.19212833856,37865.115074969784,37865.115074969784
45,"[13.321051414538548, 0.0315776403424807, 31.59766335736967]","[29.58281152435011, -0.049999999999999996, 55.01360882138837]","[28.104148527161133, 0.021309765533105752, 54.89834289400711]",385843.4461816591,38102.19190376521,37865.109527818284,37865.109527818284
46,"[6.473453808860014, -0.04083352484550641, 55.91408081989479]","[29.582814404073332, -0.049999999999999996, 55.013609649133116]","[28.104148535008694, 0.02130976558276982, 54.89827890049465]",385843.4461816531,38102.19210802231,37865.10952781038,37865.10952781038
47,"[42.73709521870007, 0.01016212416937131, 75.91930166815901]","[29.58282181215912, -0.049999999999999996, 55.013611749826964]","[28.10414855649751, 0.021309765716632234, 54.89813931608398]",385843.44618165196,38102.1926341043,37865.10952778855,37865.10952778855
48,"[36.239068054601006, 0.03605513173932924, 75.76026809451898]","[29.58280761737009, -0.049999999999999996, 55.013607709107625]","[28.10423984240194, 0.021310272861905212, 54.898132554358526]",385843.44618167216,38102.19162640907,37865.10942950874,37865.10942950874
